Date,AgeAdult,AgeMax,BatchMode,DNAFill,DenunciationCost,DifferentialCosts,DishonestPremium,DisplayPeriod,DumpStart,EraseNetwork,FriendshipValue,GeneCoding,GeneLength,GroupMinSize,HonoringCost,JoiningBonus,Judas,MaxFriends,MutationRate,NbCrossover,NbInteractions,NbTraitors,NumberOfGroups,PopulationSize,ReproGainsThreshold,ReproductionRate,ResultDir,Rounds,SacrificeHeredity,SampleSize,ScenarioName,SelectionPressure,Selectivity,StartFromFile,TimeLimit,Title,LastStep,Patriot,NonPatriot,Demand,SelfSacrifice,NbHeroes
190326155138,0,40,1,0,0,1,100,10,5000,0,0,Weighted,8,0,100,10,10,10,5,1,100,30,1,1000,10,30,./+AF8AXwBf-Results,50,50,5,Sacrifice,6,10,0,10000,Evolife,9990,39,26,48,2,30
190326184804,0,40,1,0,200,1,100,10,5000,0,15,Weighted,8,0,100,5,50,10,5,1,100,30,1,1000,10,30,./+AF8AXwBf-Results,50,50,5,Sacrifice,6,10,0,10000,Evolife,9990,19,8,67,3,42
190326205408,0,40,1,0,200,1,100,10,5000,0,0,Weighted,8,0,100,0,50,10,5,1,100,30,1,1000,10,30,./+AF8AXwBf-Results,50,50,5,Sacrifice,6,10,0,10000,Evolife,9990,0,0,79,0,11
190325174857,0,40,1,0,0,1,100,10,5000,0,5,Weighted,8,0,100,15,10,10,5,1,100,30,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,2,0,0,0,2
190325175026,0,40,1,0,200,1,100,10,5000,0,10,Weighted,8,0,100,15,10,10,5,1,100,30,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,95,92,95,4,11
190325175942,0,40,1,0,100,1,100,10,5000,0,5,Weighted,8,0,100,20,30,10,5,1,100,30,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,83,89,84,3,11
190325180000,0,40,1,0,100,1,100,10,5000,0,0,Weighted,8,0,100,10,20,10,5,1,100,30,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,73,2,80,2,7
190325180940,0,40,1,0,100,1,100,10,5000,0,5,Weighted,8,0,100,0,50,10,5,1,100,30,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,0,0,71,0,2
190325181119,0,40,1,0,0,1,100,10,5000,0,0,Weighted,8,0,100,15,0,10,5,1,100,30,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,70,21,69,1,5
190325181810,0,40,1,0,100,1,100,10,5000,0,0,Weighted,8,0,100,20,20,10,5,1,100,30,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,74,91,88,3,9
190325182104,0,40,1,0,0,1,100,10,5000,0,20,Weighted,8,0,100,5,0,10,5,1,100,30,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,2,1,0,0,2
190325182613,0,40,1,0,100,1,100,10,5000,0,0,Weighted,8,0,100,5,0,10,5,1,100,30,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,2,0,77,0,3
190325183256,0,40,1,0,100,1,100,10,5000,0,15,Weighted,8,0,100,0,50,10,5,1,100,30,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,1,1,63,0,3
190325183901,0,40,1,0,200,1,100,10,5000,0,20,Weighted,8,0,100,0,10,10,5,1,100,30,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,1,1,54,0,3
190325175014,0,40,1,0,100,1,100,10,5000,0,10,Weighted,8,0,100,10,40,10,5,1,100,40,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,65,13,72,2,6
190325175610,0,40,1,0,200,1,100,10,5000,0,10,Weighted,8,0,100,15,50,10,5,1,100,40,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,46,89,83,4,12
190325180132,0,40,1,0,100,1,100,10,5000,0,5,Weighted,8,0,100,15,0,10,5,1,100,40,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,76,13,69,2,6
190325180733,0,40,1,0,100,1,100,10,5000,0,10,Weighted,8,0,100,15,30,10,5,1,100,40,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,89,91,88,3,10
190325181129,0,40,1,0,200,1,100,10,5000,0,20,Weighted,8,0,100,20,20,10,5,1,100,40,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,89,91,85,3,11
190325181709,0,40,1,0,200,1,100,10,5000,0,15,Weighted,8,0,100,15,50,10,5,1,100,40,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,77,88,81,4,12
190325182420,0,40,1,0,200,1,100,10,5000,0,0,Weighted,8,0,100,0,40,10,5,1,100,40,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,0,0,79,0,2
190325182636,0,40,1,0,100,1,100,10,5000,0,15,Weighted,8,0,100,15,30,10,5,1,100,40,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,90,77,89,3,10
190325183203,0,40,1,0,0,1,100,10,5000,0,15,Weighted,8,0,100,20,30,10,5,1,100,40,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,6,1,0,0,2
190325184059,0,40,1,0,0,1,100,10,5000,0,0,Weighted,8,0,100,5,50,10,5,1,100,40,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,19,8,43,2,6
190326121737,0,40,1,0,0,1,100,10,5000,0,0,Weighted,8,0,100,5,40,10,5,1,100,40,1,1000,10,30,./+AF8AXwBf-Results,50,50,5,Sacrifice,6,10,0,10000,Evolife,9990,29,13,44,2,30
